word,meaning
Debut,"בכורה, הופעת בכורה, ביצוע בכורה"
to gesture,לעשות העוויה; לרמוז על ידי תנועה; לעשות מחווה
to sulk,"לזעוף, לשתוק מתוך רוגז"
Fickleness,"הפכפכות, קלות דעת, אי יציבות"
to sow,"לזרוע; לפזר, להפיץ"
Civic,אזרחי; עירוני
to daze,לבלבל; להמם
to dazzle,לסנוור
Overwrought,מעובד מדי; מותש; עייף; מרוט עצבים; נרגש
Tumult,"רעש, המולה, מבוכה"
to tinge,"לצבוע, לגוון"
Offhand,במאולתר; ללא הכנה מוקדמת; כלאחר יד
Permanence,תמידות; קבע; קביעות
Hue,"צבע, גוון"
Groove,חריץ; מסילה; אורח חיים
to avail,"להועיל, לעזור"
Choky,"מחניק, הנוטה להחנק / (סלנג בריטי) בית סוהר, בית כלא"
to cicatrize=to cicatrise,"לצלק, ליצור צלקת; להגליד ולהצטלק"
to whet,"להשחיז; לחדד; לעורר, לגרום"
Corporeal,"גופני, גשמי"
Bound,"מוכרך, וודאי; כרוך, קשור / תחום, גבול"
Astral,"כוכבי, של כוכבים"
Toad,"קרפדה; בעל-חיים שנראה כמו קרפדה (כמו למשל לטאות מסוימות); שפל, נבזה, אדם רע"
Bog,אדמה בוצית; ביצה; בית כיסא
Tussock,ציצה (של דשא)
Receptive,פתוח לרעיונות
Sacrilege,חילול הקודש
Hag,"זקנה; מכשפה, מרשעת"
Stallion,סוס הרבעה
Virtuous,"טוב, ישר, מוסרי"
Carnivore,טורף
to smite,"להכות, להלום; להביס; להשמיד, להרוג; להעניש, לייסר"
Lank,חלק ורפוי (שער); צר וארוך; רזה וגבוה; כחוש
Sordid,"מלוכלך, מטונף; עלוב; נבזה, שפל; אנוכי, קטנוני"
to congeal,"לקפוא, לקרוש; להקפיא, להקריש"
Yew,טקסוס (עץ)
Overcast,מעונן; קודר; עצוב
Juniper,"ערער (שיח, עץ)"
to straggle,"לפגר אחרי, להשתרך, להשתרג"
Alder,אלמון (עץ)
to hallow,"לקדש, להעריץ"
Chagrin,"כאב, מפח נפש, אכזבה"
Laconic,"קצר, מצומצם, מובע במילים מועטות"
to poke,לדחוף; לתחוב; לתקוע; להכות באגרוף
Unhallowed,לא מקודש
Pourparler,משא ומתן מוקדם
to beseech,להפציר
Setback,"מכשול, עיכוב; מפלה, תבוסה"
Cunning,"פיקחות, שנינות, עורמה"
Emersion,"הגחה, התגלות"
Posterity,צאצאים; הדורות הבאים
to scud,"לנוע במהירות, להחליק, לחלוף"
Phlegmatic,איטי; אדיש
Plug,"פקק, מגופה; תקע, פלאג, מחבר, פקק חשמלי; מסתם; שסתום עשוי גומי לסתימת הכיור; ברז-שרפה; פרסומת; התקן הרשאה, התקן המתחבר ליציאה של המחשב ובעזרתו התכנה מוודאת שהיא אינה עותק פיראטי (מחשבים); חסם, מחסום; גוש החוסם פתח (ברפואה); טמפון (סלנג); מצב של קיום יחסי מין (סלנג)"
Putty,טיט שמשות; מרק
Cypress,ברוש (עץ)
Wantonness,זדון; שרירותיות; פזיזות; גחמנות; הפקרות; חוסר מוסר; מתירנות; שובבות; בזבזנות
Tremulous,"רועד, מפוחד"
Livid,כחלחל; כחול אפור; כחול ממכות; זועם
Interstice,"מרווח בין-רקמתי (באנטומיה); מרווח-ביניים; רווח קטן, סדק"
Aspen,צפצפה רעדנית (עץ)
Carnal,"גופני, גשמי; חושני; בשרי"
to solder,להלחים
Plumb,במאונך; אנכית; מוחלט (סלנג) / מאונך / אנך; משקולת
Consternation,תדהמה
to debase,להשפיל; לזייף מטבע
Dint,"שקע, גומה"
to curdle,"להקריש, להקפיא; להתגבן"
Ploughshare=Plowshare,סכין המחרשה
to plumb,למדוד (עומק/קיר) באנך; לשים אנך על-
to confound,"להדהים, לבלבל; לערבב"
Furrow,תלם; חריץ; קמט
to curtail,"להפחית, לקצץ"
Jowl,"פימה, ""סנטר כפול""; בשר לחי של חזיר; דלדול בשרי בצוואר עוף"
Couturier,חייט; מעצב אופנה
Spacious,"מרווח, רחב ידיים; רחב, נרחב; עצום, גדול"
Pro quo,זה בתמורה לזה
Ambergris,ענבר אפור
Lace,תחרה; שרוך; שרוך-נעל; שנץ; משקה חריף שמוסיפים למזון או למשקה
Denim,סרבל; דנים (סוג אריג גס)
Stall,"אורווה, רפת; תא, ביתן; תירוץ לאיחור; אצבעון; אבדן כוח העילוי (במטוסים), אבדן השליטה, הזדקרות"
Timid,ביישן
to crochet,לסרוג במסרגה אחת
Pelvis,אגן הירכיים
to lace,לשרוך; להישרך; להשחיל; לקשט בתחרה; להוסיף משקה חריף (למזון וכו'); להכות (סלנג)
to purse,לכווץ (את השפתיים)
to jerk,למשוך לפתע; לדחוף לפתע; לזרוק; להיזרק; לטלטל; לשמר בשר
to bustle,להרעיש; למהר; להתרוצץ
to endow,לתרום; להעניק
to entrust,להפקיד בידי...; להטיל
to grimace,לעשות העוויות
Gleam,קרן אור; ניצוץ; שביב
Mortal,"אנוש, קטלני, של מוות; אנושי; נורא, מחריד; רב, עצום (סלנג)"
Benign,שפיר; נעים; נדיב לב
Malign,"רע, מזיק"
to reproach,להאשים; לנזוף; לגנות
Thence,"מאז, משם; לכן"
Ex post facto,"בדיעבד, לאחר מעשה"
Paucity,מחסור; צמצום
Quid,לירה שטרלינג (סלנג); חתיכת טבק לעיסה
Carter,עגלון
Detrimental,"מזיק, פוגע"
Apprehension,"מעצר; חשש, דאגה; הבנה, תפישה"
Trumpet,חצוצרה
Derogatory,"משפיל, מבזה"
Affliction,"סבל, מכאוב"
to afflict,לייסר; לגרום סבל
to instigate,"להסית, לעודד, להמריץ, לעורר, לגרות"
Renown,"מוניטין, שם טוב; פרסום"
to knell,לצלצל בפעמוני אבל; לצלצל באופן מבשר רעות; לבשר רע
Waistcoat,"אפודה, סוודר חסר שרוולים; חזייה גברית, לבוש לחזה (גברים)"
Equilibrium,"איזון; שיווי משקל, מצב בו הכוחות מאזנים זה את זה"
Apt,מתאים; מהיר תפיסה
to champion,להגן על...; לדגול ב...
Multitude,"המון, מספר רב; ציבור, קהל גדול"
Medium,בינוני; אמצעי; אמצעי ביטוי; מתווך
Auspices,"עידוד, חסות"
Unfettered,לא כבול
to fetter,"לכבול באזיקים; להגביל, לרסן"
to beget,לגרום; להוליד
Pabulum,מזון; מזון רוחני
Scion,"נצר, חוטר, צאצא"
Coeval,"בן גיל, בן דור"
Loin,מותן; בשר מותן
Loins,"מותניים, חלציים"
Embrasure,פתח ירי; פתח אלכסוני
Importunate,"מפציר, תובע; דוחק, דחוף (עניין)"
to adduce,"להביא דוגמא, להציג ראייה"
Prefix,תחילית; תואר; קידומת
Momentous,"חשוב, רציני, רב ערך, נכבד"
to bethink,לחשוב; להזכר
Plaintive,עצוב; נוגה
Supplication,"בקשה, תחינה, תפילה"
to manacle,לכבול באזיקים
Gaol,"בית כלא, בית סוהר (בריטית)"
Opaque,"אטום; לא שקוף, קהוי (זכוכית); מעורפל; מטומטם / דבר אטום, לא שקוף; נוזל לאטימת חלקים בנגטי (בצילום)"
to wither,"לנבול, לקמול; להצטמק; להתנוון; להביך; להזיק; לצמק"
Opacity,אטימות; אי שקיפות; עמימות (של צליל); ערפול; טמטום
Fad,"שגעון חולף, אפנה חולפת; שיגיון"
to consent,להסכים
Palatable,"טעים, נעים"
to taint,"להכתים, להכפיש; להשחית"
Distraught,"מבולבל, מטורף"
to perforate,"לנקב, לחורר"
to clot,להקריש
Clot,גוש; קריש דם; (בעגה:)טיפש


Antic,"תעלול; תנועה מצחיקה, ליצנות / מוזר, תימהוני (שימוש ארכאי); עליז, שמח, מפזז, משתובב"

Egalitarian,של שוויון זכויות/ דוגל בשוויון זכויות

Nutmeg,אגוז מוסקט

Extremity,קיצוניות; גפיים

to write off,"למחוק, לבטל; להעתיק"

to cosset,לפנק

Unencumbered,"שאין מכבידים עליו, שמשהו לא מכביד עליו"

Demotion,הורדה בדרגה

Goldilocks,"זהבה (מאגדת הילדים ""זהבה ושלושת הדובים"")"

Provenance,מקור; מוצא

Logomachy,"מלחמת מילים, ויכוח על מילים"

Xanadu,"ארץ פלאות, מקום נפלא ואקזוטי"

Gerontocracy,"ממשלת זקנים, שלטון הזקנים"

Literatim,"אות באות, מילולית, ככתבו"

to abscond,להתחמק; לברוח בחשאי

Cusp,"חוד, קצה חד; (אנטומיה, קרדיולוגיה) צניף הלב, קפל (כיס) בקיר הלב הנצמד ליצירת מסתם"

Porpoise,(סוג) דולפין

Dorsal,"גבי, של גב/ גב תחתון (באנטומיה, זואולוגיה); קישוט לתלייה מעל ומאחורי המזבח בכנסייה"

Fin,סנפיר; דבר דמוי סנפיר; שטר של 5 דולרים (סלנג)

Litigious,מרבה להתדיין; וכחן; של התדיינות משפטית

Feline,"חתולי, ממשפחת החתוליים; ערמומי, בוגדני מתגנב / חתול"

Ursine,"דובי, של דובים"

Vestment,"בגד, גלימה"

Expiation,"כפרה, ריצוי"

Absolution,כפרה; מחילה

to circumscribe,להקיף; להגביל

Investiture,"הענקה; הסמכה; הענקת סמכות; הכנסה לתפקיד, הכתרה"

to shutter,"להגיף תריסים; להתקין תריסים; להוריד מחזה מעל הבמה, להפסיק העלאת הצגה (סלנג); לסגור (זמני או קבוע) "

Chasuble,גלימת כומר

to slosh,"להתפלש, לבוסס; לשכשך (נוזל); להתיז; לנענע, לנער; לחבוט (סלנג)"

Esophagus,ושט

Chime,צלצול פעמונים; הרמוניה

Kudos,"תפארת, תהילה, כבוד, שבחים"

to fizzle,"להשמיע קול תסיסה הדועך לאיטו; להיכשל, להסתיים בלא-כלום (סלנג)"

Flop,"חבטה; קול חבטה; כישלון חרוץ, ""פלופ"" (סלנג) "

Uptick,(כלכלה) עלייה קטנה במחיר מניה; ביצוע עסקה בנייר ערך במחיר גבוה ממחירו הקודם

Metallurgy,תורת המתכות

Minder,"משגיח, אדם המופקד על משהו או מישהו; (בבריטניה) ילד מאומץ; ילד הגדל במשפחה אומנת או בבית יתומים"

Emeritus,"(לטינית) בדימוס, אמריטוס (תואר לפרופסור שיצא לגמלאות אך עדיין נכלל בסגל האקדמי)"

Chorister,חבר מקהלה

Turgid,"נפוח, נמלץ"

Crustacean,סרטני

Nebulously,"בצורה מעורפלת, באופן לא ברור"

Velocity,מהירות

Tang,טעם חריף; ריח חריף

Proboscis,חדק (של פיל או חרק); חוטם  (סלנג)

Paleontologist,מומחה בחקר המאובנים

Dreidel,סביבון של חנוכה

Lapdog,כלב שעשועים קטן

Per se,"בתור שכזה, כשלעצמו"

Figuratively,בהשאלה; באופן סמלי; באופן ציורי

Curmudgeon,אדם בעל מזג רע

Cyst,שלחוף; כיסתה

to encyst,להכניס לשלפוחית (ציסטה); להימצא בשלפוחית (ציסטה) (בביולוגיה)

Phenotype,פנוטיפ (סך כל תכונות האורגניזם הבאות לידי ביטוי חיצוני)

Collocation,שכנות; צרוף מלים טבעי

Staid,"רציני; מתון, מיושב"

to demarcate,"לתחום, לציין גבולות, לקבוע גבולות, לסמן תחום"

Glutinous,דביק; דבקי

Predicate,נשוא

Subroutine,"(במחשבים) שגרה, רוטינה, קוד מקור הנלווה לתכנית ומבצע תפקיד מסוים"

Centennial,יובל המאה

Symbiotic,שיתופי

Contentious,פולמוסי

to prepend,"לצרף בהתחלה, להוסיף בראש (סלנג, ההפך מ-append)"

to pilfer,לגנוב; לסחוב

Cytophagy,בליעת תאים

Thimble,אצבעון

Thermogenesis,יצירת חום באמצעות תהליכים פיזיולוגיים

Steamroll,מכבש קיטור

Troika,"מרכבה הרתומה ל-3 סוסים; קבוצה של 3 מנהיגים או מדינות הפועלים יחד, הנהגה משולשת"

Pancreas,לבלב

Dissention,"מחלוקת; אי הסכמה, חילוקי דעות"

Autophagy,המנגנון הטבעי שגורם להרס ולפירוק של מרכיבים תאיים לא מתפקדים או לא נחוצים

Attrition,שחיקה; שפשוף; התשה

Contrail,שובל אדים (של מטוס או טיל)

Cronyism,"העדפת מקורבים, הטיית חסד לחברים (במיוחד בפוליטיקה), נפוטיזם"

Antecedent ,קודם/ הנחה מראש; קודמן (בדקדוק)

Antecedents,מאורעות ותקריות משמעותיים בשנות חייו המוקדמות של אדם; אבותיו הקדומים של אדם 

to fulminate,"להתפוצץ ברעש עז; לגנות בחריפות, לתקוף קשות, למחות "

to flail,"לחבוט, להכות, לדוש"

Flump,נפילה; חבטה; קול חבטה; קול עמום כבד 

Extemporaneous = Extempore,מאולתר

to titter,לגחך

Congruent,מתאים; עוקב

Trope,"מליצה; משל, השאלה (ספרות)"

to codify,לערוך חוקים בקובץ

to encapsulate,לעטוף בקרום; לסגור כבבועה

Snazzy,"מטופח, מצוחצח, מגונדר (סלנג)"

Dermis,"עור, גלד"

to touch up,לשפר את המראה על ידי שינויים או תיקונים קטנים

Maw,זפק; קיבה; פה; לוע פעור

to head off,למנוע; להסיט

to counterpoint,להדגיש על ידי ניגוד

Amulet,קמיע

Fixture,"מתקן, אבזר; עובד ותיק; תחרות ספורט; מועד תחרות ספור"

Miniscule,"מזערי, זעיר, קטן מאד"

Aphrodisiac,"(חומר) מעורר חשק מני, מגרה"

Polymath,"איש אשכולות; מלומד, ידען"

Wrack,"הרס; חורבן; השמדה; הריסות, חורבות; שרידי ספינה טרופה; עשב ים שנפלט לחוף"

to decry,לזלזל ב..; לגנות

Partisan,מצדד; תומך; מפלגתי; פרטיזני

Impasse,מבוי סתום

to glare,להבהיק; לסנוור; לנעוץ מבט נוקב

Glare,"זוהר; ברק; אור מסנוור; מבט חודר; מבט זועם/ חלק, חלקלק"

Livelihood,פרנסה; מחייה

On end,ברציפות

For hours on end,שעות על גבי שעות

Tribune,"מנהיג; דוכן, במה"

Agitator,תועמלן

Paramilitary,דומה לכוח צבאי; מסייע לצבא

to blabber,לפטפט; לגלות סוד

Diss,"(סלנג) מפגין חוסר כבוד כלפי אדם אחר; להעליב מישהו, לזלזל או להמעיט מערכו של אדם אחר"

Ungulate,"בע""ח חיים בעל פרסות, מפריס פרסה/ בעל פרסות; דמוי פרסה"

Ovine,"כבשי, של או השייך לכבשה; דומה בתכונותיו לכבשה"

to clip,לקצץ; לנקב; להצמיד; להצמד

to bepuzzle,"להביך; להתמיה, לבלבל; סבך"

Chalice,"קובעת, גביע"

Grout,"רובה, חומר איטום המשמש בריצוף למילוי המרווחים והחריצים בין אריחים ו/או מרצפות; תוצקה, תערובת בלילה של בטון או טיח, דייס"

to edify,"לחזק מוסר, לחנך, לשפר"

Inalienable,"שאין להעבירו לאחר, שאין להסב אוותו"

Ankh,צלב שבראשו חור (סמל לאריכות ימים במצרים העתיקה)

Bullae,בועה; בעבוע; בולה (חותם על איגרת האפיפיור)

Accession,הגעה; כניסה לתפקיד

Triumvirate,"טריאומווירט, ממשלת שלושה, ממשל שבראשו עומדים שלושה (ברומא הקדומה); שלטון שלושה במדינה, שלושה שליטים, התאגדות שלושה לביצוע מדיניות; שלישייה, כל קבוצה של שלושה"

to galumph,לפזז בשמחה

Matriculation,תעודת בגרות; זכות קבלה ללימודים גבוהים

Prickly,"דוקרני, עוקצני (כפשוטו וכן בהשאלה)"

Drupe,פרי גלעיני

Arthritis,דלקת פרקים

Cobnut,"אגוז לוז, אגוז אלסר"

Gallstone,אבן מרה

i.e. (Id est),"דהיינו, כלומר, ר""ל"

Junket,"חביצה; נסיעה, טיול; פיקניק; נסיעה על חשבון הציבור; משתה "

to recriminate,להטיח האשמה נגדית

Interventionism,התערבות (בענייני מדינה אחרת)

to junket,לצאת לטיול; לנסוע על חשבון הציבור; לערוך פיקניק; לחגוג; לבדר

Recrimination,אשמת נגד

to grout,"למרוח דייס, למרוח רובה"

to wrack,"להסיע, להזיז"

Epidermis,שכבת העור החיצונית

to predicate,לבסס על; לקבוע; לייחס

to antic,"לקפץ, לכרכר, לעשות מעשי קונדס"

Stilt,קב

Sprite,"פייה, שדון, שד, רוח"

Asymptotic,אסימפטוטי (במתמטיקה-מתקרב לגבול מסוים אך לעולם אינו מגיע אליו) 

Finite,"מוגבל, שיש לו גבולות; סופי, שניתן לסופרו (במתמטיקה) "

Sprig,"ענף, זלזל, נצר; עלם, בחור צעיר; עיטור דמוי ענף; מסמר נטול ראש "

Chrysanthemum,חרצית

Valence,ערכיות (בכימיה)

Ketosis,מחלת גופי קטון (ברפואה)

Shunt,"הטייה, הסטה; מיצד (באלקטרוניקה); עיתוק (במסילת-ברזל); דלף (ברפואה) "

to canker,לקלקל; להשחית; להפגע

Follicle,"זקיק (גֻּמָּה בָּעוֹר שֶׁקְּבוּעָה בָּהּ שַׂעֲרָה, נוֹצָה וְכַיּוֹצֵא בָּהֶן)"

to gibe,"ללגלג, ללעוג"

to jeer,"ללעוג, ללגלג"

Pullet,פרגית

Minnow,גסטרוסטאוס (סוג דג)

Firebrand,"אוד; מחרחר, מסית, משלהב; אדם אנרגטי ונמרץ (סלנג)"

Mélange,"תערובת, בליל; ערבובייה"

Incandescent,"זוהר, לוהט, מתלבן"

to nestle,לקנן; לשכון; להתרפק; להחזיק כבעריסה

to coop,לכלוא; לשים בלול; לשים בכלוב

Paralogism,"בלוגיקה – חוסר היגיון, מסקנה מוטעית"

Casuistry,"פלפול יתר, מסקנה מוטעית"

to disavow,"לכפור, לדחות, לשלול קשר"

Tailwind,"רוח אחורית, רוח הבאה מאחורי כלי טיס או מכונית"

Folate,חומצה פולית

Protectionism,"מדיניות מגן (כלכלה – מדיניות של כפיית גבלות וחסמים על סחר בין מדינות, באמצעים כגון מכס על סחורות מיובאות, קביעת מכסות שמטרתה להביא לירידה בייבוא וחקיקה נגד היצף למטרת הגנה על התעשייה המקומית במדינה מתחרות בינלאומית)"

Tabulation,עריכה בטבלאות

Mantissa,"חלק בלוגריתם (מתמטיקה רומית, המספר שלאחר הנקודה העשרונית, השבר)"

Exponent,"פרשן, מסביר; מעריך, סימן או מספר מעל ומימין למספר אחר (שהוא הבסיס) המראה באיזו חזקה יש להעלות את הבסיס (מתמטיקה)"

Precision,דיוק

Whiff,"ריח, ניחוח קל; נשיפה; שאיפה אחת; נשיפה אחת; דג שטוח "

Diaphragm,סרעפת; תופית; צמצם

Parasomnia,הפרעת שינה

Placenta,שִׁלְיָה (אֵיבָר עָשִׁיר בִּכְלֵי דָּם הַבָּנוּי מִקְּרוּמֵי הָעֻבָּר וְהָרֶחֶם. הָעֻבָּר מְקַבֵּל דֶּרֶךְ הַשִּׁלְיָה אֶת מְזוֹנוֹ בִּהְיוֹתוֹ בְּרֶחֶם אִמּוֹ)

Locale,"מָקוֹם, זִירַת הִתְרַחֲשׁוּת (מצרפתית)"

Quotient,מנה (בחילוק)

Archetypical,אבטיפוסי

Verdure,"לבלוב, רעננות"

to capitulate,להיכנע

to misappropriate,"למעול (בכספים, רעיון וכו'), לעשות שימוש בלתי הוגן"

Psychotropic,"(על סמים) המשפיע על חשיבתו של אדם, שמשפיע על תהליכים שכליים; השייך או הקשור לסם המשפיע על מצבו השכלי של אדם "

to stock,"לשמור במלאי, לאחסן במלאי, לשים בסטוק; לצייד, לספק מלאי; לספק חיות משק; לאגור, להצטייד, לשמור "

to hem,לשפות; להקיף; לכתר; להמם

Shuttle,"מעבורת; בוכייר (בנול-אריגה); היסעית, מעבורת, קו הלוך ושוב (של רכבת, אוטובוס וכו'); פקק נוצות בו חובטים במחבט במשחק בדמינטון/ מעבורת, העברת אנשים בקו הלוך ושוב (של אנייה, רכבת, אוטובוס וכו')"

Leukocyte,כדורית דם לבנה

Antigen,חומר המייצר נוגדנים

Pièce de résistance,"החלק החשוב ביותר של יצירה, ארוחה, מחקר וכו'"

Phagocyte,"תא בולעני, כדוגמת חלק מתאי הדם הלבנים. תאים אלה נודדים לרקמות ולאיברים שנפגעו בזיהום על ידי חיידקים או גורמים אחרים ומפרקים אותם בעזרת אנזימים)"

Lymphocyte,"תא לימפה (שם כולל לשלושה סוגים של תאי דם לבנים: תאי T, תאי B ותאי NK)"

Antibody,נוגדן

to underline,"למתוח קו מתחת, להדגיש"

Ampersand,סימן החיבור (&)

Apostrophe,"גרש, תג ('); פנייה אישית בנאום או בשירה לאדם שאינו נוכח"

Colon,נקודתיים; המעי הגס

Octothorpe,"סולמית (#), סימן המשמש כתחליף למלה מספר"

Plenum,"מליאה (של פרלמנט או גוף מסויים - כלומר ההפך ממניין, מצב שבו כלל חברי הפרלמנט חייבים לנכוח בפגישה)"

Guttural,גרוני/ הגה גרוני

Phoneme,הברה; הגה; פונימה (היחידה הקטנה ביותר במבנה הלשון) 

Yuppie,"יאפי (סלנג), כינוי לצעיר עירוני ""מצליחן"" ועשיר "

Sparse,"דליל; מועט, זעום"

Podium,במה; דוכן

to recapitulate,לסכם

Unwittingly,ללא יודעין

Vorticity,ערבוליות (בהידרודינמיקה – מידה לעוצמת המערבולת)

Catalyst,זרז; מדרבן

Ergot,"שיפונית (מחלת צמחים, בעיקר מחלת שיפון שמעוררת הזיות וממנה מפיקים את הסם LSD)"

Recidivism,חזרה על עבירה (של פושע)

Stodgy,"סמיך, קשה לעיכול; משעמם"

Beatific,מאושר; מבורך

Lackluster,"עמום, חסר ברק/ עמימות, חוסר ברק"

to scavenge,"לנקות; לטאטא רחובות; לחפש מזון, לחטט בזבל; לטהר מסיגים "

to dish up,"לספק מזון; להגיש אוכל, לשים בצלחת "

Orifice,פתח; פה; נחיר

to corral,להקים מכלאה; ליצור טבעות עגולות

Contrarian,"מתנגד, בעל מחלוקת (החולק על דעת הרוב), בר פלוגתא"

Ad hominem,"מכוון לרגשותיו או רגישויותיו של אדם בניגוד לעובדות מנומקות או אובייקטיביות (בפרט כמו במשפט, בין אם בפנייה או במתקפה)"

Verbiage,גיבוב מלים

Cavernous,חלול; עמוק; מלא נקבות

Gnosis,ידיעה; הכרה; ידיעת נסתרות

to farrow,"להמליט שֶׁגֶר, להמליט גורים (בעיקר נאמר על חזירה)"

Reverb,אפקט שמע שבו הצליל שיוצא מהמגבר גורם לרטט

Dissonant,"צורמני, צורם"

Compensatory,"מפצה, הנוגע לפיצוי"

Worth one’s salt,ברמה גבוהה בתחום מסוים

Infrasonic,בעל תדר נמוך מהתחום הנשמע

Cinder,"אפר, גחלת"

Crummy,"גרוע; גועלי, מגעיל; נחות, דל "

to grandstand,"""לעשות הצגה"", לעשות דבר מה כדי להרשים את הקהל ולזכות למחיאות כפיים מן הקהל (בד""כ לגבי פוליטיקאים הנואמים לפי קהל) "

Capital,"ראשי; דינו מוות/  (עיר) בירה; הון, רכוש, קפיטל; כותרת עמוד "

Scatological,של חקר הצואה; של התעסקות בצואה; של חקר צואה במאובנים

to sidestep,"להתחמק, להימנע; לפסוע הצידה "

Conduit,"תעלה, צינור"

Expert-generalist,אדם שמומחה בהרבה תחומים שונים

Jack of all trades,"כולבויניק, אדם שיכול לבצע מטלות שונות ומרובות"

Uproarious,רועש; קולני; עליז

Mitten,"כפפה, כסיה"

Occident,המערב; אירופה ואמריקה; חצי כדור הארץ המערבי

Outremer,"הכינוי שניתן לממלכה הצלבנית שהוקמה בירושלים (משמעות המילה מצרפתית – שמעבר לים, שבניכר)"

Broadband,בעל טוח תדרים רחב

Traction,כוח הגרירה

Cornucopia,קרן השפעה; גודש

to unsheathe,לשלוף (מנדן – חרב וכו')

Grist,גרעיני תבואה (לטחינה)

Lieu,"מקום (בצרפתית, שימוש בצירופים בלבד) "

Sardonic grin = Rictus grin = Risus sardonicus,חיוך הנגרם כתוצאה מכיווץ שרירי הפנים (לאחר מוות או במקרי שיתוק וכו')

Indigent,"אביון, עני, דל, נצרך, אדם חסר כסף ומצרכים בסיסיים"

to tussle,"להתקוטט, להלחם"

Nub,בליטה קטנה; עיקר; תמצית 

Harpy,"מרשעת, מפלצת"

Sanguineous,דמי; מכיל דם; אדום; עקוב מדם; בוטח 

to chomp,"ללעוס ברעש, לכרסם"

Velcro,"צַמְדָּן זִיפִי, סקוטש נצמד, סימן מסחרי של חומר זיפי נצמד המשמש כתחליף לרוכסנים וכפתורים (להצמדה ולהידוק)"

Tiff,"מריבה קלה, ריב  "

Morphogenesis,"(בביולוגיה, אמבריולוגיה) היווצרות צורה, תהליך ועיצוב צורת האורגניזם או העובר במהלך התפתחותו "

Endogenous,"של מקור פנימי, ממקור פנימי "

Excise,"בְּלו (מַס עֲקִיפִין עַל מִצְרָכִים הַמְּיֻצָּרִים בָּאָרֶץ וּמְיֻצָּאִים לְחוּ""ל [סִיגָרִיּוֹת, טַבָּק, יַיִן וְעוֹד])"

Apotropaic,"הדיפת הרוע, שנעשה על מנת להדוף את הרוע"

Gargoyle,פי-מרזב דמוי מפלצת (בעיקר בכנסיות גותיות); צורת פסל מגוחך

Off the peg,"מוכן ללבישה, תפור בצורה סטנדרטית"

Senescence,תהליך ההזדקנות (בחיים)

Deleterious,מזיק

Pleiotropy,יכולתו של גן מבודד ליצור יותר מתוצאה אחת מובחנת 

Sputter,"פרץ דברים; התזה, יריקה, פליטה; הטחת פרץ דברים; מטח"

A flash in the pan,התחלה מבטיחה המסתיימת בכישלון חרוץ

Adept,מיומן/ מומחה

Spline,"שֶגֶם, (במכונות:) בליטת חיבור"

Parallelogram,מקבילית

Polygon,"מצולע, רב צלעות (צורה גיאומטרית שצלעותיה שוות)"

Memorabilia,"דברים שראוי לזכורם, מזכרות"

Headway,התקדמות

Dicey,"מסוכן, לא בטוח"

to construe,"לפרש, להבין"

Euclidean,"של אויקלידס (מתמטיקאי יווני, אבי הגיאומטריה האויקלידית)"

Syncopation,במוסיקה-העברת ההטעמה לטון לא מוטעם; בדקדוק-השמטת הגה באמצע מילה; בשירה-העברת ההטעמה להגה לא מוטעם

to emote,להביע רגשות (בעגה)

Neophobia,פחד מחידושים ומחדשנות

Valium,שם תרופת הרגעה

Phosphene,זרח

Pheromone,"חומר אורגני דמוי הורמון המופרש ע""י בעלי חיים מסוימים (בעיקר חרקים) ומשמש לתקשורת ביניהם ובעיקר למשיכה מינית, אקטו-הורמון, סוציוהורמון"

Ephemera,דברים שקיימים או שיש בהם שימוש לזמן מוגבל ביותר; סוג של חרקים בר-יומניים

Ideation,"המשגה, יצירת מושגים; הגיית רעיונות; פעולת הדימוי"

Misoneism,שנאת חידושים

Sine,סינוס (פונקציה טריגונומטרית המצביעה על היחס בין הניצב ליתר במשולש)

Incubus,"שד, רוח; סיוט; מועקה"

Scalpel,"אזמל, סכין, אזמל מנתחים"

Lancet,אזמל מנתחים

Privation,מחסור; עוני; שלילה

to hark back,"לחזור לעבר, להיזכר בעבר; להתייחס לצורתו המקורית של משהו; להיזכר בימים עברו "

to harken,"להקשיב, להאזין (ארכאי)"

Mildew,"עובש, טחב, קימחון"

Vicarious,"עקיף, לא ישיר, בעקיפין, דרך מתווך, באמצעות אחרים; נחווה באופן עקיף על ידי אדם אחר; למען האחרים; ייצוגי; שמתרחש באיבר יוצא דופן של הגוף (בפיסיולוגיה) "

SARS (Severe acute respiratory syndrome),צורה לא טיפוסית ומדבקת מאוד של דלקת ריאות שמקורה בגואנדונג (סין)

Trachoma,גרענת (מחלה)

Riff,ריף (קטע נגינה חוזר)

to tincture,לצבוע; לתבל 

Forestry,יערנות; ייעור; אדמת יער

